Alert ID,SMARTS,ARTICLEID,PROPERTY,NAME,DESCRIPTION,PAGE,TABLE,LINE,COMMENT,SMARTS_DESCRIPTION,PUBMEDID,Publication
TA1319,"[NX3]([c,CX4&!$([CX4]([NX3])[O,S,N,P])])([c,CX4&!$([CX4]([NX3])[O,S,N,P])])[c,CX4&!$([CX4]([NX3])[O,S,N,P])]",A12075,Extended Functional Groups (EFG),Tertiary amines,"R = alkyl, aryl",-,-,-,,,-,2005 CheckMol
TA1320,"[$([#6&!$([CX3]=[OX1,SX1,NX2])][OX2,SX2][CX3](=[SX1])[OX2,SX2][#1,#6&!$([CX3]=[OX1,SX1,NX2])]),$([#6&!$([CX3]=[OX1,SX1,NX2])][SX2][CX3](=[OX1])[OX2,SX2][#1,#6&!$([CX3]=[OX1,SX1,NX2])]),$([#6&!$([CX3]=[OX1,SX1,NX2])][OX2,SX2][CX3](=[OX1])[SH1])]",A27542,Extended Functional Groups (EFG),Thiocarbonic acid esters,"R1 = alkyl, aryl; R2 = H, alkyl, aryl",-,-,-,,,26703557,"2015 Salmina, ES"
TA1321,[#6X3](=[OX1])[#8X2][#6X3](=[OX1]),A27542,Extended Functional Groups (EFG),Acid anhydrides,"R1, R2 = any atom/ group",-,-,-,,-,26703557,"2015 Salmina, ES"
TA1323,[CX3]=[CX3][CX3]=[CX3],A27542,Extended Functional Groups (EFG),"Conjugated alkadienes (1,3-alkadienes)","R1, R2, R3, R4, R5, R6 = any atom/ group",-,-,-,,,26703557,"2015 Salmina, ES"
TA1324,[CX3]=[CX3][CX4][CX3]=[CX3],A27542,Extended Functional Groups (EFG),"Unconjugated alkadienes (1,4-alkadienes)","R1, R2, R3, R4, R5, R6, R7, R8 = any atom/ group",-,-,-,,,26703557,"2015 Salmina, ES"
TA1325,"[F,Cl,Br,I][CX3]=[CX3]",A27542,Extended Functional Groups (EFG),Vinyl halides,"R1, R2, R3 = any atom/ group; X = F, Cl, Br, I",-,-,-,,,26703557,"2015 Salmina, ES"
TA1326,"[CX4]([F,Cl,Br,I])([F,Cl,Br,I])([F,Cl,Br,I]) AND NOT [CX4]([F,Cl,Br,I])([F,Cl,Br,I])([F,Cl,Br,I])([F,Cl,Br,I])",A27542,Extended Functional Groups (EFG),Gem-trihalides,"R = any atom/ group except halogen atoms; X = F, Cl, Br, I",-,-,-,,,26703557,"2015 Salmina, ES"
TA1327,"[F,Cl,Br,I][CX2]#[CX2]",A27542,Extended Functional Groups (EFG),Alkynyl halides,"R = any atom/ group; X = F, Cl, Br, I",-,-,-,,,26703557,"2015 Salmina, ES"
TA1328,"a[CX4][F,Cl,Br,I]",A27542,Extended Functional Groups (EFG),Benzyl halides,"R1, R2 = any atom/ group; X = F, Cl, Br, I; A = any aromatic atom",-,-,-,,,26703557,"2015 Salmina, ES"
TA1329,a[CX4]F,A27542,Extended Functional Groups (EFG),Benzyl  fluorides,"R1, R2 = any atom/ group; A = any aromatic atom",-,-,-,,,26703557,"2015 Salmina, ES"
TA1330,a[CX4]Cl,A27542,Extended Functional Groups (EFG),Benzyl  chlorides,"R1, R2 = any atom/ group; A = any aromatic atom",-,-,-,,,26703557,"2015 Salmina, ES"
TA1331,a[CX4]Br,A27542,Extended Functional Groups (EFG),Benzyl bromides,"R1, R2 = any atom/ group; A = any aromatic atom",-,-,-,,,26703557,"2015 Salmina, ES"
TA1332,a[CX4]I,A27542,Extended Functional Groups (EFG),Benzyl iodides,"R1, R2 = any atom/ group; A = any aromatic atom",-,-,-,,,26703557,"2015 Salmina, ES"
TA1333,"[#3,#11,#19,#37,#55,#87]",A27542,Extended Functional Groups (EFG),Alkali metals,,-,-,-,,,26703557,"2015 Salmina, ES"
