Alert ID,SMARTS,ARTICLEID,PROPERTY,NAME,DESCRIPTION,PAGE,TABLE,LINE,COMMENT,SMARTS_DESCRIPTION,PUBMEDID,Publication
TA2455,"[$([!#6!#1;R1]1=[#6R1]~[#6R1]~[#6R1]~1),$([!#6!#1;R1]1~[#6R1]=[#6R1]~[#6R1]~1)]",A27542,Extended Functional Groups (EFG),Unsaturated four-membered heterocycles with one heteroatom,A = any atom except carbon; a dashed line indicates any type of covalent bonds,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2456,"[$([#7R1]1=[#6R1]-[#6R1]-[#6R1]-1),$([#7R1]1-[#6R1]=[#6R1]-[#6R1]-1)]",A27542,Extended Functional Groups (EFG),Azetines,,-,-,-,"High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed)
",,26703557,"2015 Salmina, ES"
TA2457,[#7R1]1=[#6R1]-[#6R1]-[#6R1]-1,A27542,Extended Functional Groups (EFG),1-Azetines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2458,[#7R1]1-[#6R1]=[#6R1]-[#6R1]-1,A27542,Extended Functional Groups (EFG),2-Azetines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2459,[#7R1]1=[#6R1][#6R1]=[#6R1]1,A27542,Extended Functional Groups (EFG),Azetes,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2460,[#8R1]1[#6R1]=[#6R1][#6R1]1,A27542,Extended Functional Groups (EFG),Oxetenes,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2461,[#16X2R1]1[#6R1]=[#6R1][#6R1]1,A27542,Extended Functional Groups (EFG),Thietenes,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2462,"[$([!#6!#1;R1]1~[!#6!#1;R1]~[#6R1]~[#6R1]~1),$([!#6!#1;R1]1~[#6R1]~[!#6!#1;R1]~[#6R1]~1)]",A27542,Extended Functional Groups (EFG),Four-membered heterocycles with two heteroatoms,A = any atom except carbon; a dashed line indicates any type of covalent bonds,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2463,"[$([!#6!#1;R1]1-[!#6!#1;R1]-[#6R1]-[#6R1]-1),$([!#6!#1;R1]1-[#6R1]-[!#6!#1;R1]-[#6R1]-1)]",A27542,Extended Functional Groups (EFG),Saturated four-membered heterocycles with two heteroatoms,A = any atom except carbon,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2464,"[$([NR1]1[CR1][CR1][NR1]1),$([NR1]1[CR1][NR1][CR1]1)]",A27542,Extended Functional Groups (EFG),Diazetidines,,-,-,-,"High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed)
",,26703557,"2015 Salmina, ES"
TA2465,[NR1]1[CR1][CR1][NR1]1,A27542,Extended Functional Groups (EFG),"1,2-Diazetidines",,-,-,-,"High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed)
",,26703557,"2015 Salmina, ES"
TA2466,[NR1]1[CR1][NR1][CR1]1,A27542,Extended Functional Groups (EFG),"1,3-Diazetidines",,-,-,-,"High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed)
",,26703557,"2015 Salmina, ES"
TA2467,"[$([OR1]1[OR1][CR1][CR1]1),$([OR1]1[CR1][OR1][CR1]1)]",A27542,Extended Functional Groups (EFG),Dioxetanes,,-,-,-,"High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed)
",,26703557,"2015 Salmina, ES"
TA2468,[OR1]1[OR1][CR1][CR1]1,A27542,Extended Functional Groups (EFG),"1,2-Dioxetanes",,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2469,[OR1]1[CR1][OR1][CR1]1,A27542,Extended Functional Groups (EFG),"1,3-Dioxetanes",,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2470,"[$([SX2R1]1[SX2R1][CR1][CR1]1),$([SX2R1]1[CR1][SX2R1][CR1]1)]",A27542,Extended Functional Groups (EFG),Dithietanes,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2471,[SX2R1]1[SX2R1][CR1][CR1]1,A27542,Extended Functional Groups (EFG),"1,2-Dithietanes",,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2472,[SX2R1]1[CR1][SX2R1][CR1]1,A27542,Extended Functional Groups (EFG),"1,3-Dithietanes",,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2473,"[$([!#6!#1;R1]1=[!#6!#1;R1]~[#6R1]~[#6R1]~1),$([!#6!#1;R1]1~[!#6!#1;R1]=[#6R1]~[#6R1]~1),$([!#6!#1;R1]1~[!#6!#1;R1]~[#6R1]=[#6R1]~1),$([!#6!#1;R1]1=[#6R1]~[!#6!#1;R1]~[#6R1]~1)]",A27542,Extended Functional Groups (EFG),Unsaturated four-membered heterocycles with two heteroatoms,A = any atom except carbon; a dashed line indicates any type of covalent bonds,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2474,"[$([#7]1=,:[#7]-,:[#6]-,=,:[#6]-,:1),$([#7]1-,:[#7]=,:[#6]-,:[#6]-,=,:1),$([#7]1-,:[#7]-,:[#6]=,:[#6]-,=,:1),$([#7]1=,:[#6]-,:[#7]-,=,:[#6]-,:1)]",A27542,Extended Functional Groups (EFG),Diazetines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2475,"[#8R1]1-,:[#8R1]-,:[#6R1]=,:[#6R1]-,:1",A27542,Extended Functional Groups (EFG),Dioxetenes,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2476,"[#16R1]1-,:[#16R1]-,:[#6R1]=,:[#6R1]-,:1",A27542,Extended Functional Groups (EFG),Dithietenes,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2483,"[$([#7R1]1-[#7R1]=[#6R1]-1),$([#7R1]1=[#7R1]-[#6R1]-1)]",A27542,Extended Functional Groups (EFG),Diazirenes,,-,-,-,"High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed)
",,26703557,"2015 Salmina, ES"
TA2507,[!#6!#1;R1]1~[*R1]~[*R1]~[*R1]~[*R1]~1,A27542,Extended Functional Groups (EFG),Five-membered heterocycles,A = any atom except carbon; A1 = any atom; a dashed line indicates any type of covalent bonds,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),-,26703557,"2015 Salmina, ES"
TA2508,[!#6!#1;R1]1~[#6R1]~[#6R1]~[#6R1]~[#6R1]~1,A27542,Extended Functional Groups (EFG),Five-membered heterocycles with one heteroatom,A = any atom except carbon; a dashed line indicates any type of covalent bonds,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2509,[!#6!#1;R1]1[CR1][CR1][CR1][CR1]1,A27542,Extended Functional Groups (EFG),Saturated five-membered heterocycles with one heteroatom,A = any atom except carbon,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2510,[NR1]1[CR1][CR1][CR1][CR1]1,A27542,Extended Functional Groups (EFG),Pyrrolidines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2511,[OR1]1[CR1][CR1][CR1][CR1]1,A27542,Extended Functional Groups (EFG),Tetrahydrofurans,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2512,[SR1]1[CR1][CR1][CR1][CR1]1,A27542,Extended Functional Groups (EFG),Tetrahydrothiophenes,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2513,"[$([!#6!#1;R1]1=[CR1][CR1][CR1][CR1]1),$([!#6!#1;R1]1[CR1]=[CR1][CR1][CR1]1),$([!#6!#1;R1]1[CR1][CR1]=[CR1][CR1]1),$([!#6!#1;R1]1=[CR1][CR1]=[CR1][CR1]1);!$(n1cccc1)]",A27542,Extended Functional Groups (EFG),Unsaturated five-membered heterocycles with one heteroatom,A = any atom except carbon,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2514,"[$([NR1]1=[CR1][CR1][CR1][CR1]1),$([NR1]1[CR1]=[CR1][CR1][CR1]1),$([NR1]1[CR1][CR1]=[CR1][CR1]1)]",A27542,Extended Functional Groups (EFG),Pyrrolines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2515,[NR1]1=[CR1][CR1][CR1][CR1]1,A27542,Extended Functional Groups (EFG),1-Pyrrolines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2516,[NR1]1[CR1]=[CR1][CR1][CR1]1,A27542,Extended Functional Groups (EFG),2-Pyrrolines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2517,[NR1]1[CR1][CR1]=[CR1][CR1]1,A27542,Extended Functional Groups (EFG),3-Pyrrolines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2518,"[$([OR1]1[CR1]=[CR1][CR1][CR1]1),$([OR1]1[CR1][CR1]=[CR1][CR1]1)]",A27542,Extended Functional Groups (EFG),Dihydrofurans,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2519,[OR1]1[CR1]=[CR1][CR1][CR1]1,A27542,Extended Functional Groups (EFG),"2,3-Dihydrofurans",,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2520,[OR1]1[CR1][CR1]=[CR1][CR1]1,A27542,Extended Functional Groups (EFG),"2,5-Dihydrofurans",,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2521,"[$([SR1]1[CR1]=[CR1][CR1][CR1]1),$([SR1]1[CR1][CR1]=[CR1][CR1]1)]",A27542,Extended Functional Groups (EFG),Dihydrothiophenes,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2522,[SR1]1[CR1]=[CR1][CR1][CR1]1,A27542,Extended Functional Groups (EFG),"2,3-Dihydrothiophenes",,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2523,[SR1]1[CR1][CR1]=[CR1][CR1]1,A27542,Extended Functional Groups (EFG),"2,5-Dihydrothiophenes",,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2524,[a!#6;R1]1[cR1][cR1][cR1][cR1]1,A27542,Extended Functional Groups (EFG),Aromatic five-membered heterocycles with one heteroatom,A = any aromatic atom except carbon,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2525,[nR1]1[cR1][cR1][cR1][cR1]1,A27542,Extended Functional Groups (EFG),Pyrroles,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2526,[oR1]1[cR1][cR1][cR1][cR1]1,A27542,Extended Functional Groups (EFG),Furans,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2527,[sR1]1[cR1][cR1][cR1][cR1]1,A27542,Extended Functional Groups (EFG),Thiophenes,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2528,[cR1]1[cR1][cR1][cR1][cR2]2[nR1][cR1][cR1][cR2]12,A27542,Extended Functional Groups (EFG),Indoles,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2529,[cR1]1[cR1][cR1][cR1][cR2]2[oR1][cR1][cR1][cR2]12,A27542,Extended Functional Groups (EFG),Benzofurans,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2530,[cR1]1[cR1][cR1][cR1][cR2]2[sR1][cR1][cR1][cR2]12,A27542,Extended Functional Groups (EFG),Benzothiophenes,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2531,"[$([!#6!#1;R1]1~[!#6!#1;R1]~[#6R1]~[#6R1]~[#6R1]~1),$([!#6!#1;R1]1~[#6R1]~[!#6!#1;R1]~[#6R1]~[#6R1]~1)]",A27542,Extended Functional Groups (EFG),Five-membered heterocycles with two heteroatoms,A = any atom except carbon; a dashed line indicates any type of covalent bonds,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),-,26703557,"2015 Salmina, ES"
TA2532,"[$([!#6!#1;R1]1[!#6!#1;R1][CR1][CR1][CR1]1),$([!#6!#1;R1]1[CR1][!#6!#1;R1][CR1][CR1]1)]",A27542,Extended Functional Groups (EFG),Saturated five-membered heterocycles with two heteroatoms,A = any atom except carbon,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2533,"[$([NR1]1[NR1][CR1][CR1][CR1]1),$([NR1]1[CR1][NR1][CR1][CR1]1)]",A27542,Extended Functional Groups (EFG),Diazolidines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2534,[NR1]1[NR1][CR1][CR1][CR1]1,A27542,Extended Functional Groups (EFG),Pyrazolidines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2535,[NR1]1[CR1][NR1][CR1][CR1]1,A27542,Extended Functional Groups (EFG),Imidazolidines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2536,"[$([OR1]1[OR1][CR1][CR1][CR1]1),$([OR1]1[CR1][OR1][CR1][CR1]1)]",A27542,Extended Functional Groups (EFG),Dioxolanes,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2537,[OR1]1[OR1][CR1][CR1][CR1]1,A27542,Extended Functional Groups (EFG),"1,2-Dioxolanes",,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2538,[OR1]1[CR1][OR1][CR1][CR1]1,A27542,Extended Functional Groups (EFG),"1,3-Dioxolanes",,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2539,"[$([SR1]1[SR1][CR1][CR1][CR1]1),$([SR1]1[CR1][SR1][CR1][CR1]1)]",A27542,Extended Functional Groups (EFG),Dithiolanes,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2540,[SR1]1[SR1][CR1][CR1][CR1]1,A27542,Extended Functional Groups (EFG),"1,2-Dithiolanes",,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2541,[SR1]1[CR1][SR1][CR1][CR1]1,A27542,Extended Functional Groups (EFG),"1,3-Dithiolanes",,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2542,"[$([!#6!#1;R1]1=[!#6!#1;R1][CR1]-,=[CR1][CR1]1),$([!#6!#1;R1]1[!#6!#1;R1]=[CR1][CR1][CR1]1),$([!#6!#1;R1]1[!#6!#1;R1][CR1]=[CR1][CR1]1),$([!#6!#1;R1]1=[CR1][!#6!#1;R1]-,=[CR1][CR1]1),$([!#6!#1;R1]1[CR1][!#6!#1;R1][CR1][CR1]=1),$([!#6!#1;R1]1[CR1][!#6!#1;R1][CR1]=[CR1]1)]",A27542,Extended Functional Groups (EFG),Unsaturated five-membered heterocycles with two heteroatoms,A = any atom except carbon,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2543,"[$([NR1]1=[NR1][CR1][CR1][CR1]1),$([NR1]1[NR1]=[CR1][CR1][CR1]1),$([NR1]1[NR1][CR1]=[CR1][CR1]1)]",A27542,Extended Functional Groups (EFG),Pyrazolines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2544,[NR1]1=[NR1][CR1][CR1][CR1]1,A27542,Extended Functional Groups (EFG),1-Pyrazolines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2545,[NR1]1[NR1]=[CR1][CR1][CR1]1,A27542,Extended Functional Groups (EFG),2-Pyrazolines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2546,"[$([NR1]1=[CR1][NR1][CR1][CR1]1),$([NR1]1[CR1][NR1]=[CR1][CR1]1),$([NR1]1[CR1][NR1][CR1]=[CR1]1)]",A27542,Extended Functional Groups (EFG),Imidazolines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2547,[NR1]1=[CR1][NR1][CR1][CR1]1,A27542,Extended Functional Groups (EFG),2-Imidazolines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2548,[NR1]1[CR1][NR1]=[CR1][CR1]1,A27542,Extended Functional Groups (EFG),3-Imidazolines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2549,[NR1]1[CR1][NR1][CR1]=[CR1]1,A27542,Extended Functional Groups (EFG),4-Imidazolines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2550,"[$([OR1]1[OR1][CR1]=[CR1][CR1]1),$([OR1]1[CR1][OR1][CR1]=[CR1]1)]",A27542,Extended Functional Groups (EFG),Dioxolenes,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2551,[OR1]1[OR1][CR1]=[CR1][CR1]1,A27542,Extended Functional Groups (EFG),"1,2-Dioxolenes",,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2552,[OR1]1[CR1][OR1][CR1]=[CR1]1,A27542,Extended Functional Groups (EFG),"1,3-Dioxolenes",,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2553,"[$([SR1]1[SR1][CR1]=[CR1][CR1]1),$([SR1]1[CR1][SR1][CR1]=[CR1]1)]",A27542,Extended Functional Groups (EFG),Dithiolenes,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2554,[SR1]1[SR1][CR1]=[CR1][CR1]1,A27542,Extended Functional Groups (EFG),"1,2-Dithiolenes",,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2555,[SR1]1[CR1][SR1][CR1]=[CR1]1,A27542,Extended Functional Groups (EFG),"1,3-Dithiolenes",,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2556,"[$([a!#6;R1]1[a!#6;R1][cR1][cR1][cR1]1),$([a!#6;R1]1[cR1][a!#6;R1][cR1][cR1]1)]",A27542,Extended Functional Groups (EFG),Aromatic five-membered heterocycles with two heteroatoms,A = any aromatic atom except carbon,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2557,"[$([nR1]1[nR1][cR1][cR1][cR1]1),$([nR1]1[cR1][nR1][cR1][cR1]1)]",A27542,Extended Functional Groups (EFG),Diazoles,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2558,[nR1]1[nR1][cR1][cR1][cR1]1,A27542,Extended Functional Groups (EFG),Pyrazoles,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2559,[nR1]1[cR1][nR1][cR1][cR1]1,A27542,Extended Functional Groups (EFG),Imidazoles,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2560,"[$([oR1]1[nR1][cR1][cR1][cR1]1),$([oR1]1[cR1][nR1][cR1][cR1]1)]",A27542,Extended Functional Groups (EFG),Oxazoles,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2561,[oR1]1[nR1][cR1][cR1][cR1]1,A27542,Extended Functional Groups (EFG),"1,2-Oxazoles",,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2562,[oR1]1[cR1][nR1][cR1][cR1]1,A27542,Extended Functional Groups (EFG),"1,3-Oxazoles",,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2563,"[$([sR1]1[nR1][cR1][cR1][cR1]1),$([sR1]1[cR1][nR1][cR1][cR1]1)]",A27542,Extended Functional Groups (EFG),Thiazoles,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2564,[sR1]1[nR1][cR1][cR1][cR1]1,A27542,Extended Functional Groups (EFG),"1,2-Thiazoles",,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2565,[sR1]1[cR1][nR1][cR1][cR1]1,A27542,Extended Functional Groups (EFG),"1,3-Thiazoles",,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2566,"[$([!#6!#1;R1]1~[!#6!#1;R1]~[!#6!#1;R1]~[#6R1]~[#6R1]~1),$([!#6!#1;R1]1~[!#6!#1;R1]~[#6R1]~[!#6!#1;R1]~[#6R1]~1)]",A27542,Extended Functional Groups (EFG),Five-membered heterocycles with three heteroatoms,A = any atom except carbon; a dashed line indicates any type of covalent bonds,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),-,26703557,"2015 Salmina, ES"
TA2567,"[$([!#6!#1;R1]1[!#6!#1;R1][!#6!#1;R1][CR1][CR1]1),$([!#6!#1;R1]1[!#6!#1;R1][CR1][!#6!#1;R1][CR1]1)]",A27542,Extended Functional Groups (EFG),Saturated five-membered heterocycles with three heteroatoms,A = any atom except carbon,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
